Fruit.id,Fruit.batch,Day,Date,Ripeness.stage,Weight,Sugar.content,Primate.red-green.contrast,Primate.blue-yellow.contrast,Primate.luminance,Passerine.red-green.contrast,Passerine.blue-yellow.contrast,Passerine.luminance,Instant.modulus.test,Shannon.index
M148,U17,Day15,2021-08-12,4,334,19.76666667,0.5549278,0.10286845,0.45801017,0.677655053,0.145169973,59.86151718,0.21017,0
M160,U18,Day02,2021-07-30,1,475,17.56666667,0.510622,0.17287562,0.55188112,0.524391079,0.276993771,58.97563877,0.72903,0.056940348
M156,U18,Day04,2021-08-01,1,441,19.6,0.5337607,0.17100002,0.49968931,0.614282297,0.218940127,59.78267317,0.28921,0.909677529
M158,U18,Day06,2021-08-03,2,475,16.73333333,0.5338856,0.09821585,0.57413972,0.609011627,0.174208722,66.5891025,0.2657,0
M159,U18,Day07,2021-08-04,2,460,21.16666667,0.5474127,0.16551582,0.48242531,0.658384856,0.189505197,61.35132887,0.1559,0.312323024
M162,U18,Day07,2021-08-04,2,472,17.26666667,0.5498649,0.12900602,0.50718528,0.800378484,0.405371444,53.42935105,0.17594,0.898751681
M155,U18,Day09,2021-08-06,3,463,18.86666667,0.5488177,0.08334174,0.60279819,0.65789218,0.138881122,73.95088356,0.17328,0.976345729
M157,U18,Day12,2021-08-09,3,455,23.5,0.5501438,0.1056553,0.50424471,0.663657341,0.151556494,63.69507972,0.17786,0
M154,U18,Day14,2021-08-11,4,345,19.1,0.5472691,0.09764831,0.43711342,0.65507391,0.153363828,55.24542134,0.04798,0.237191877
M161,U18,Day16,2021-08-13,4,451,23.4,0.5444346,0.07797337,0.65857342,0.643203052,0.14069777,78.10729348,0.35418,0
